IdentityCard_Num,PredictVote
302,Browns
303,Greys
304,Browns
305,Browns
306,Blues
307,Oranges
308,Blues
309,Blues
310,Blues
311,Browns
312,Greys
313,Whites
314,Greens
315,Reds
316,Pinks
317,Greys
318,Blues
319,Purples
320,Pinks
321,Reds
322,Browns
323,Reds
324,Greys
325,Oranges
326,Oranges
327,Browns
328,Oranges
329,Oranges
330,Purples
331,Purples
332,Yellows
333,Yellows
334,Purples
335,Blues
336,Blues
337,Browns
338,Browns
339,Oranges
340,Purples
341,Browns
342,Greens
343,Greens
344,Browns
345,Pinks
346,Greens
347,Blues
348,Greys
349,Browns
350,Purples
351,Browns
352,Turquoises
353,Browns
354,Blues
355,Oranges
356,Browns
357,Browns
358,Oranges
359,Purples
360,Pinks
361,Oranges
362,Browns
363,Purples
364,Purples
365,Greys
366,Whites
367,Yellows
368,Purples
369,Oranges
370,Greys
371,Purples
372,Blues
373,Purples
374,Purples
375,Greens
376,Browns
377,Pinks
378,Blues
379,Blues
380,Browns
381,Purples
382,Browns
383,Greens
384,Turquoises
385,Blues
386,Blues
387,Pinks
388,Greens
389,Purples
390,Pinks
391,Purples
392,Blues
393,Purples
394,Blues
395,Pinks
396,Reds
397,Pinks
398,Oranges
399,Greens
400,Pinks
401,Oranges
402,Greens
403,Greens
404,Greens
405,Browns
406,Blues
407,Pinks
408,Purples
409,Oranges
410,Blues
411,Pinks
412,Pinks
413,Yellows
414,Browns
415,Browns
416,Pinks
417,Pinks
418,Greens
419,Browns
420,Turquoises
421,Whites
422,Greens
423,Turquoises
424,Greens
425,Oranges
426,Browns
427,Browns
428,Blues
429,Browns
430,Blues
431,Oranges
432,Reds
433,Oranges
434,Reds
435,Greens
436,Browns
437,Reds
438,Purples
439,Oranges
440,Blues
441,Greens
442,Oranges
443,Turquoises
444,Greys
445,Greys
446,Oranges
447,Browns
448,Turquoises
449,Greens
450,Browns
451,Purples
452,Browns
453,Greens
454,Oranges
455,Purples
456,Browns
457,Oranges
458,Browns
459,Reds
460,Browns
461,Pinks
462,Oranges
463,Oranges
464,Browns
465,Browns
466,Purples
467,Turquoises
468,Oranges
469,Greys
470,Browns
471,Greys
472,Greens
473,Browns
474,Browns
475,Yellows
476,Browns
477,Greens
478,Browns
479,Blues
480,Browns
481,Whites
482,Browns
483,Turquoises
484,Blues
485,Yellows
486,Browns
487,Yellows
488,Browns
489,Browns
490,Pinks
491,Whites
492,Oranges
493,Yellows
494,Greens
495,Pinks
496,Greys
497,Browns
498,Purples
499,Browns
500,Turquoises
501,Purples
502,Pinks
503,Yellows
504,Blues
505,Purples
506,Greens
507,Purples
508,Greys
509,Oranges
510,Whites
511,Purples
512,Purples
513,Purples
514,Pinks
515,Reds
516,Yellows
517,Whites
518,Browns
519,Browns
520,Blues
521,Whites
522,Reds
523,Pinks
524,Turquoises
525,Pinks
526,Purples
527,Blues
528,Blues
529,Purples
530,Whites
531,Greys
532,Greens
533,Whites
534,Blues
535,Browns
536,Pinks
537,Pinks
538,Browns
539,Turquoises
540,Greys
541,Oranges
542,Turquoises
543,Purples
544,Purples
545,Purples
546,Oranges
547,Purples
548,Turquoises
549,Purples
550,Browns
551,Oranges
552,Browns
553,Oranges
554,Browns
555,Greens
556,Turquoises
557,Browns
558,Browns
559,Reds
560,Purples
561,Purples
562,Browns
563,Blues
564,Greens
565,Greens
566,Greens
567,Purples
568,Pinks
569,Blues
570,Purples
571,Turquoises
572,Blues
573,Whites
574,Purples
575,Browns
576,Pinks
577,Greys
578,Purples
579,Whites
580,Browns
581,Blues
582,Browns
583,Blues
584,Pinks
585,Greys
586,Purples
587,Reds
588,Blues
589,Greens
590,Whites
591,Pinks
592,Whites
593,Purples
594,Blues
595,Purples
596,Purples
597,Reds
598,Whites
599,Yellows
600,Greens
601,Blues
602,Blues
603,Oranges
604,Pinks
605,Purples
606,Reds
607,Browns
608,Oranges
609,Whites
610,Browns
611,Pinks
612,Yellows
613,Greens
614,Blues
615,Pinks
616,Pinks
617,Yellows
618,Greens
619,Greys
620,Blues
621,Browns
622,Pinks
623,Greens
624,Browns
625,Pinks
626,Greens
627,Yellows
628,Reds
629,Browns
630,Browns
631,Browns
632,Oranges
633,Greens
634,Browns
635,Blues
636,Turquoises
637,Purples
638,Purples
639,Browns
640,Purples
641,Greens
642,Browns
643,Greys
644,Yellows
645,Browns
646,Purples
647,Turquoises
648,Browns
649,Yellows
650,Browns
651,Browns
652,Browns
653,Purples
654,Yellows
655,Yellows
656,Pinks
657,Purples
658,Purples
659,Reds
660,Browns
661,Blues
662,Turquoises
663,Blues
664,Browns
665,Blues
666,Browns
667,Browns
668,Pinks
669,Turquoises
670,Purples
671,Greens
672,Yellows
673,Browns
674,Blues
675,Turquoises
676,Blues
677,Reds
678,Yellows
679,Greens
680,Greens
681,Browns
682,Pinks
683,Pinks
684,Blues
685,Oranges
686,Yellows
687,Whites
688,Purples
689,Pinks
690,Browns
691,Greys
692,Purples
693,Purples
694,Reds
695,Pinks
696,Browns
697,Browns
698,Purples
699,Purples
700,Browns
701,Browns
702,Browns
703,Oranges
704,Purples
705,Turquoises
706,Browns
707,Blues
708,Yellows
709,Browns
710,Browns
711,Browns
712,Browns
713,Pinks
714,Oranges
715,Purples
716,Browns
717,Greys
718,Yellows
719,Pinks
720,Purples
721,Purples
722,Purples
723,Greys
724,Turquoises
725,Oranges
726,Browns
727,Browns
728,Purples
729,Purples
730,Greys
731,Purples
732,Browns
733,Turquoises
734,Blues
735,Pinks
736,Purples
737,Browns
738,Browns
739,Blues
740,Yellows
741,Blues
742,Reds
743,Oranges
744,Yellows
745,Greens
746,Oranges
747,Browns
748,Browns
749,Turquoises
750,Oranges
751,Greys
752,Oranges
753,Browns
754,Greens
755,Yellows
756,Pinks
757,Yellows
758,Greens
759,Reds
760,Browns
761,Pinks
762,Greens
763,Browns
764,Browns
765,Browns
766,Greys
767,Purples
768,Purples
769,Blues
770,Purples
771,Purples
772,Turquoises
773,Oranges
774,Pinks
775,Browns
776,Greens
777,Turquoises
778,Reds
779,Greys
780,Turquoises
781,Browns
782,Browns
783,Greys
784,Whites
785,Oranges
786,Turquoises
787,Browns
788,Turquoises
789,Greys
790,Pinks
791,Purples
792,Whites
793,Purples
794,Browns
795,Whites
796,Pinks
797,Blues
798,Greys
799,Pinks
800,Browns
801,Greens
802,Purples
803,Purples
804,Yellows
805,Purples
806,Greens
807,Blues
808,Greens
809,Blues
810,Blues
811,Blues
812,Greys
813,Browns
814,Browns
815,Pinks
816,Blues
817,Pinks
818,Whites
819,Purples
820,Greens
821,Purples
822,Browns
823,Oranges
824,Reds
825,Purples
826,Blues
827,Greens
828,Greens
829,Whites
830,Purples
831,Greys
832,Whites
833,Whites
834,Turquoises
835,Whites
836,Pinks
837,Browns
838,Blues
839,Browns
840,Oranges
841,Greens
842,Browns
843,Greys
844,Greens
845,Yellows
846,Oranges
847,Pinks
848,Greys
849,Greens
850,Blues
851,Oranges
852,Purples
853,Reds
854,Yellows
855,Purples
856,Greens
857,Blues
858,Blues
859,Browns
860,Browns
861,Oranges
862,Reds
863,Greens
864,Greys
865,Reds
866,Purples
867,Blues
868,Purples
869,Purples
870,Blues
871,Oranges
872,Blues
873,Browns
874,Pinks
875,Browns
876,Browns
877,Pinks
878,Turquoises
879,Browns
880,Purples
881,Whites
882,Oranges
883,Purples
884,Browns
885,Greys
886,Blues
887,Pinks
888,Yellows
889,Whites
890,Greys
891,Reds
892,Blues
893,Pinks
894,Turquoises
895,Turquoises
896,Purples
897,Purples
898,Greys
899,Pinks
900,Blues
901,Yellows
902,Browns
903,Purples
904,Greens
905,Oranges
906,Greys
907,Purples
908,Purples
909,Purples
910,Yellows
911,Greys
912,Blues
913,Greens
914,Greens
915,Greens
916,Purples
917,Pinks
918,Oranges
919,Browns
920,Turquoises
921,Browns
922,Reds
923,Reds
924,Yellows
925,Yellows
926,Pinks
927,Purples
928,Browns
929,Purples
930,Greens
931,Oranges
932,Purples
933,Pinks
934,Browns
935,Pinks
936,Purples
937,Whites
938,Purples
939,Greens
940,Blues
941,Greens
942,Pinks
943,Purples
944,Greens
945,Browns
946,Browns
947,Pinks
948,Pinks
949,Blues
950,Browns
951,Browns
952,Greens
953,Greys
954,Purples
955,Browns
956,Oranges
957,Purples
958,Blues
959,Browns
960,Blues
961,Purples
962,Turquoises
963,Purples
964,Blues
965,Turquoises
966,Purples
967,Oranges
968,Browns
969,Whites
970,Purples
971,Blues
972,Greens
973,Purples
974,Browns
975,Greens
976,Purples
977,Purples
978,Purples
979,Greens
980,Whites
981,Turquoises
982,Oranges
983,Browns
984,Turquoises
985,Browns
986,Yellows
987,Browns
988,Turquoises
989,Blues
990,Pinks
991,Oranges
992,Greens
993,Browns
994,Pinks
995,Whites
996,Blues
997,Greens
998,Oranges
999,Browns
1000,Browns
1001,Browns
1002,Pinks
1003,Pinks
1004,Browns
1005,Reds
1006,Oranges
1007,Blues
1008,Purples
1009,Blues
1010,Turquoises
1011,Yellows
1012,Whites
1013,Pinks
1014,Greens
1015,Purples
1016,Browns
1017,Purples
1018,Greys
1019,Pinks
1020,Whites
1021,Turquoises
1022,Browns
1023,Whites
1024,Reds
1025,Blues
1026,Browns
1027,Greens
1028,Blues
1029,Blues
1030,Reds
1031,Browns
1032,Blues
1033,Blues
1034,Browns
1035,Oranges
1036,Whites
1037,Greens
1038,Pinks
1039,Oranges
1040,Purples
1041,Turquoises
1042,Purples
1043,Blues
1044,Browns
1045,Purples
1046,Purples
1047,Yellows
1048,Browns
1049,Blues
1050,Purples
1051,Purples
1052,Browns
1053,Whites
1054,Blues
1055,Browns
1056,Whites
1057,Browns
1058,Browns
1059,Greens
1060,Purples
1061,Oranges
1062,Pinks
1063,Turquoises
1064,Yellows
1065,Browns
1066,Purples
1067,Yellows
1068,Greens
1069,Purples
1070,Blues
1071,Oranges
1072,Purples
1073,Blues
1074,Browns
1075,Turquoises
1076,Purples
1077,Reds
1078,Yellows
1079,Blues
1080,Browns
1081,Pinks
1082,Whites
1083,Purples
1084,Browns
1085,Pinks
1086,Greys
1087,Browns
1088,Purples
1089,Pinks
1090,Browns
1091,Oranges
1092,Oranges
1093,Blues
1094,Purples
1095,Greens
1096,Browns
1097,Oranges
1098,Greens
1099,Pinks
1100,Blues
1101,Greens
1102,Pinks
1103,Whites
1104,Blues
1105,Purples
1106,Browns
1107,Yellows
1108,Yellows
1109,Greys
1110,Greens
1111,Greens
1112,Reds
1113,Blues
1114,Pinks
1115,Pinks
1116,Browns
1117,Purples
1118,Greys
1119,Browns
1120,Greys
1121,Greys
1122,Browns
1123,Browns
1124,Browns
1125,Oranges
1126,Purples
1127,Blues
1128,Browns
1129,Turquoises
1130,Purples
1131,Greens
1132,Browns
1133,Blues
1134,Purples
1135,Whites
1136,Purples
1137,Browns
1138,Greens
1139,Pinks
1140,Purples
1141,Blues
1142,Blues
1143,Yellows
1144,Oranges
1145,Browns
1146,Pinks
1147,Purples
1148,Greens
1149,Browns
1150,Purples
1151,Greens
1152,Oranges
1153,Purples
1154,Pinks
1155,Purples
1156,Greens
1157,Purples
1158,Purples
1159,Blues
1160,Reds
1161,Oranges
1162,Reds
1163,Reds
1164,Oranges
1165,Yellows
1166,Oranges
1167,Oranges
1168,Reds
1169,Purples
1170,Browns
1171,Yellows
1172,Browns
1173,Browns
1174,Purples
1175,Yellows
1176,Yellows
1177,Greens
1178,Purples
1179,Oranges
1180,Browns
1181,Purples
1182,Greens
1183,Purples
1184,Whites
1185,Purples
1186,Oranges
1187,Oranges
1188,Blues
1189,Pinks
1190,Turquoises
1191,Browns
1192,Browns
1193,Greens
1194,Browns
1195,Purples
1196,Greens
1197,Pinks
1198,Whites
1199,Purples
1200,Browns
1201,Purples
1202,Oranges
1203,Turquoises
1204,Browns
1205,Pinks
1206,Yellows
1207,Reds
1208,Purples
1209,Pinks
1210,Pinks
1211,Yellows
1212,Oranges
1213,Purples
1214,Purples
1215,Pinks
1216,Pinks
1217,Browns
1218,Browns
1219,Purples
1220,Purples
1221,Oranges
1222,Whites
1223,Oranges
1224,Browns
1225,Blues
1226,Pinks
1227,Pinks
1228,Greys
1229,Blues
1230,Reds
1231,Browns
1232,Purples
1233,Oranges
1234,Browns
1235,Pinks
1236,Oranges
1237,Greens
1238,Whites
1239,Browns
1240,Reds
1241,Greys
1242,Greens
1243,Yellows
1244,Pinks
1245,Purples
1246,Browns
1247,Browns
1248,Browns
1249,Purples
1250,Purples
1251,Purples
1252,Greens
1253,Pinks
1254,Pinks
1255,Pinks
1256,Greys
1257,Greys
1258,Oranges
1259,Oranges
1260,Browns
1261,Purples
1262,Pinks
1263,Reds
1264,Purples
1265,Pinks
1266,Browns
1267,Reds
1268,Browns
1269,Pinks
1270,Reds
1271,Reds
1272,Browns
1273,Browns
1274,Pinks
1275,Pinks
1276,Blues
1277,Greens
1278,Greys
1279,Purples
1280,Blues
1281,Pinks
1282,Turquoises
1283,Purples
1284,Oranges
1285,Purples
1286,Greys
1287,Turquoises
1288,Browns
1289,Whites
1290,Reds
1291,Greens
1292,Purples
1293,Blues
1294,Browns
1295,Yellows
1296,Yellows
1297,Greys
1298,Yellows
1299,Blues
1300,Browns
1301,Reds
1302,Browns
1303,Pinks
1304,Browns
1305,Browns
1306,Purples
1307,Purples
1308,Pinks
1309,Browns
1310,Purples
1311,Greens
1312,Greys
1313,Pinks
1314,Purples
1315,Yellows
1316,Yellows
1317,Browns
1318,Purples
1319,Oranges
1320,Browns
1321,Blues
1322,Yellows
1323,Browns
1324,Purples
1325,Browns
1326,Yellows
1327,Greens
1328,Pinks
1329,Oranges
1330,Browns
1331,Oranges
1332,Yellows
1333,Purples
1334,Greens
1335,Yellows
1336,Blues
1337,Pinks
1338,Purples
1339,Purples
1340,Purples
1341,Purples
1342,Reds
1343,Browns
1344,Purples
1345,Browns
1346,Blues
1347,Browns
1348,Yellows
1349,Reds
1350,Browns
1351,Oranges
1352,Pinks
1353,Purples
1354,Greens
1355,Oranges
1356,Turquoises
1357,Greys
1358,Pinks
1359,Browns
1360,Browns
1361,Greys
1362,Yellows
1363,Oranges
1364,Browns
1365,Browns
1366,Yellows
1367,Browns
1368,Purples
1369,Purples
1370,Blues
1371,Browns
1372,Browns
1373,Browns
1374,Purples
1375,Pinks
1376,Purples
1377,Blues
1378,Reds
1379,Pinks
1380,Greys
1381,Blues
1382,Reds
1383,Browns
1384,Purples
1385,Greys
1386,Purples
1387,Oranges
1388,Greys
1389,Greens
1390,Pinks
1391,Oranges
1392,Turquoises
1393,Blues
1394,Pinks
1395,Pinks
1396,Yellows
1397,Greys
1398,Pinks
1399,Blues
1400,Yellows
1401,Greys
1402,Browns
1403,Oranges
1404,Purples
1405,Browns
1406,Browns
1407,Whites
1408,Greens
1409,Oranges
1410,Greens
1411,Purples
1412,Whites
1413,Pinks
1414,Browns
1415,Browns
1416,Oranges
1417,Browns
1418,Oranges
1419,Yellows
1420,Pinks
1421,Browns
1422,Purples
1423,Blues
1424,Oranges
1425,Browns
1426,Blues
1427,Oranges
1428,Browns
1429,Purples
1430,Browns
1431,Reds
1432,Browns
1433,Reds
1434,Browns
1435,Pinks
1436,Greens
1437,Pinks
1438,Purples
1439,Browns
1440,Yellows
1441,Purples
1442,Reds
1443,Purples
1444,Purples
1445,Browns
1446,Browns
1447,Greens
1448,Reds
1449,Pinks
1450,Pinks
1451,Greens
1452,Pinks
1453,Greens
1454,Purples
1455,Oranges
1456,Greys
1457,Whites
1458,Blues
1459,Pinks
1460,Purples
1461,Purples
1462,Purples
1463,Blues
1464,Purples
1465,Greens
1466,Purples
1467,Greens
1468,Purples
1469,Turquoises
1470,Oranges
1471,Browns
1472,Oranges
1473,Purples
1474,Oranges
1475,Whites
1476,Greys
1477,Purples
1478,Browns
1479,Turquoises
1480,Browns
1481,Pinks
1482,Greys
1483,Yellows
1484,Reds
1485,Greens
1486,Blues
1487,Pinks
1488,Reds
1489,Pinks
1490,Purples
1491,Greens
1492,Purples
1493,Blues
1494,Blues
1495,Greys
1496,Blues
1497,Browns
1498,Purples
1499,Blues
1500,Greens
1501,Oranges
1502,Oranges
1503,Greys
1504,Pinks
1505,Greens
1506,Browns
1507,Pinks
1508,Browns
1509,Purples
1510,Browns
1511,Greens
1512,Pinks
1513,Blues
1514,Purples
1515,Purples
1516,Browns
1517,Oranges
1518,Greys
1519,Yellows
1520,Greens
1521,Pinks
1522,Oranges
1523,Whites
1524,Purples
1525,Pinks
1526,Blues
1527,Browns
1528,Blues
1529,Pinks
1530,Blues
1531,Purples
1532,Pinks
1533,Pinks
1534,Purples
1535,Greens
1536,Browns
1537,Pinks
1538,Purples
1539,Pinks
1540,Blues
1541,Pinks
1542,Blues
1543,Greys
1544,Pinks
1545,Turquoises
1546,Oranges
1547,Greens
1548,Pinks
1549,Blues
1550,Pinks
1551,Greys
1552,Browns
1553,Blues
1554,Whites
1555,Purples
1556,Purples
1557,Yellows
1558,Greens
1559,Purples
1560,Yellows
1561,Browns
1562,Oranges
1563,Browns
1564,Whites
1565,Turquoises
1566,Blues
1567,Greys
1568,Browns
1569,Greens
1570,Browns
1571,Greens
1572,Browns
1573,Turquoises
1574,Browns
1575,Browns
1576,Greens
1577,Reds
1578,Browns
1579,Blues
1580,Reds
1581,Whites
1582,Browns
1583,Reds
1584,Greens
1585,Purples
1586,Purples
1587,Purples
1588,Blues
1589,Browns
1590,Blues
1591,Pinks
1592,Purples
1593,Browns
1594,Greens
1595,Turquoises
1596,Reds
1597,Blues
1598,Purples
1599,Browns
1600,Browns
1601,Browns
1602,Purples
1603,Purples
1604,Pinks
1605,Oranges
1606,Browns
1607,Greys
1608,Whites
1609,Browns
1610,Pinks
1611,Purples
1612,Browns
1613,Browns
1614,Purples
1615,Browns
1616,Greens
1617,Pinks
1618,Yellows
1619,Blues
1620,Greens
1621,Yellows
1622,Purples
1623,Reds
1624,Purples
1625,Oranges
1626,Pinks
1627,Purples
1628,Oranges
1629,Pinks
1630,Browns
1631,Whites
1632,Browns
1633,Purples
1634,Pinks
1635,Reds
1636,Oranges
1637,Oranges
1638,Pinks
1639,Oranges
1640,Purples
1641,Pinks
1642,Blues
1643,Browns
1644,Pinks
1645,Blues
1646,Turquoises
1647,Blues
1648,Browns
1649,Blues
1650,Blues
1651,Greys
1652,Purples
1653,Purples
1654,Browns
1655,Pinks
1656,Browns
1657,Greens
1658,Purples
1659,Greens
1660,Browns
1661,Yellows
1662,Purples
1663,Blues
1664,Blues
1665,Oranges
1666,Purples
1667,Greens
1668,Purples
1669,Turquoises
1670,Browns
1671,Pinks
1672,Browns
1673,Yellows
1674,Blues
1675,Blues
1676,Purples
1677,Purples
1678,Browns
1679,Browns
1680,Pinks
1681,Greys
1682,Oranges
1683,Greens
1684,Browns
1685,Browns
1686,Browns
1687,Greys
1688,Blues
1689,Purples
1690,Browns
1691,Turquoises
1692,Browns
1693,Purples
1694,Whites
1695,Oranges
1696,Purples
1697,Blues
1698,Pinks
1699,Pinks
1700,Browns
1701,Yellows
1702,Pinks
1703,Blues
1704,Purples
1705,Oranges
1706,Whites
1707,Greens
1708,Browns
1709,Greens
1710,Blues
1711,Yellows
1712,Browns
1713,Browns
1714,Browns
1715,Purples
1716,Browns
1717,Browns
1718,Blues
1719,Browns
1720,Purples
1721,Blues
1722,Browns
1723,Greys
1724,Purples
1725,Purples
1726,Greens
1727,Greys
1728,Blues
1729,Purples
1730,Blues
1731,Purples
1732,Pinks
1733,Browns
1734,Greens
1735,Reds
1736,Greys
1737,Oranges
1738,Greys
1739,Purples
1740,Browns
1741,Yellows
1742,Oranges
1743,Oranges
1744,Yellows
1745,Greens
1746,Greens
1747,Browns
1748,Pinks
1749,Greys
1750,Turquoises
1751,Greys
1752,Purples
1753,Blues
1754,Whites
1755,Purples
1756,Purples
1757,Blues
1758,Purples
1759,Purples
1760,Browns
1761,Purples
1762,Greys
1763,Turquoises
1764,Browns
1765,Pinks
1766,Blues
1767,Turquoises
1768,Purples
1769,Blues
1770,Blues
1771,Greens
1772,Purples
1773,Greys
1774,Purples
1775,Purples
1776,Oranges
1777,Greens
1778,Whites
1779,Purples
1780,Purples
1781,Purples
1782,Purples
1783,Greys
1784,Purples
1785,Browns
1786,Turquoises
1787,Browns
1788,Greens
1789,Reds
1790,Browns
1791,Greens
1792,Oranges
1793,Purples
1794,Turquoises
1795,Oranges
1796,Blues
1797,Browns
1798,Greys
1799,Purples
1800,Turquoises
1801,Reds
1802,Purples
1803,Blues
1804,Purples
1805,Yellows
1806,Turquoises
1807,Pinks
1808,Purples
1809,Blues
1810,Reds
1811,Turquoises
1812,Pinks
1813,Browns
1814,Pinks
1815,Purples
1816,Reds
1817,Browns
1818,Browns
1819,Pinks
1820,Browns
1821,Purples
1822,Purples
1823,Browns
1824,Browns
1825,Pinks
1826,Turquoises
1827,Purples
1828,Purples
1829,Oranges
1830,Greens
1831,Browns
1832,Oranges
1833,Browns
1834,Pinks
1835,Yellows
1836,Purples
1837,Oranges
1838,Reds
1839,Purples
1840,Yellows
1841,Browns
1842,Purples
1843,Browns
1844,Whites
1845,Reds
1846,Greys
1847,Greys
1848,Yellows
1849,Browns
1850,Blues
1851,Blues
1852,Purples
1853,Blues
1854,Purples
1855,Reds
1856,Browns
1857,Browns
1858,Purples
1859,Oranges
1860,Purples
1861,Oranges
1862,Purples
1863,Browns
1864,Browns
1865,Pinks
1866,Browns
1867,Blues
1868,Greys
1869,Purples
1870,Browns
1871,Pinks
1872,Whites
1873,Oranges
1874,Browns
1875,Reds
1876,Greys
1877,Greens
1878,Greys
1879,Purples
1880,Browns
1881,Turquoises
1882,Browns
1883,Turquoises
1884,Purples
1885,Oranges
1886,Blues
1887,Oranges
1888,Purples
1889,Blues
1890,Yellows
1891,Greys
1892,Greys
1893,Whites
1894,Browns
1895,Greys
1896,Greys
1897,Browns
1898,Greys
1899,Browns
1900,Browns
1901,Purples
1902,Greys
1903,Browns
1904,Yellows
1905,Greens
1906,Blues
1907,Oranges
1908,Greys
1909,Pinks
1910,Greens
1911,Greys
1912,Browns
1913,Purples
1914,Pinks
1915,Blues
1916,Browns
1917,Browns
1918,Oranges
1919,Browns
1920,Blues
1921,Yellows
1922,Reds
1923,Purples
1924,Blues
1925,Blues
1926,Browns
1927,Browns
1928,Blues
1929,Oranges
1930,Greens
1931,Purples
1932,Oranges
1933,Browns
1934,Browns
1935,Blues
1936,Purples
1937,Oranges
1938,Purples
1939,Yellows
1940,Yellows
1941,Browns
1942,Reds
1943,Purples
1944,Browns
1945,Purples
1946,Blues
1947,Browns
1948,Yellows
1949,Browns
1950,Oranges
1951,Browns
1952,Yellows
1953,Oranges
1954,Browns
1955,Purples
1956,Blues
1957,Blues
1958,Reds
1959,Purples
1960,Turquoises
1961,Pinks
1962,Purples
1963,Browns
1964,Blues
1965,Greys
1966,Browns
1967,Browns
1968,Purples
1969,Purples
1970,Browns
1971,Greys
1972,Pinks
1973,Blues
1974,Greens
1975,Reds
1976,Browns
1977,Browns
1978,Blues
1979,Blues
1980,Browns
1981,Turquoises
1982,Blues
1983,Purples
1984,Yellows
1985,Greys
1986,Browns
1987,Greys
1988,Purples
1989,Purples
1990,Blues
1991,Browns
1992,Purples
1993,Oranges
1994,Browns
1995,Purples
1996,Purples
1997,Browns
1998,Pinks
1999,Pinks
2000,Browns
2001,Pinks
2002,Greens
2003,Browns
2004,Browns
2005,Blues
2006,Oranges
2007,Purples
2008,Browns
2009,Browns
2010,Browns
2011,Oranges
2012,Greys
2013,Pinks
2014,Blues
2015,Purples
2016,Blues
2017,Purples
2018,Purples
2019,Purples
2020,Turquoises
2021,Purples
2022,Browns
2023,Browns
2024,Purples
2025,Oranges
2026,Greens
2027,Blues
2028,Oranges
2029,Pinks
2030,Purples
2031,Blues
2032,Purples
2033,Greys
2034,Yellows
2035,Blues
2036,Pinks
2037,Purples
2038,Whites
2039,Oranges
2040,Purples
2041,Blues
2042,Greens
2043,Blues
2044,Browns
